Français;Kabyle;Fréquence_Pourcentage
être;blɣ / g / ili / tilit / tuɣa;15.0
Venir;ddu (-d) / as;5.0
dire;ini / nẓṛ;4.5
voir;annay / xzr / isidd / iẓiṛ / llm / matr / ṛaɛa / sksiw / sksu / suqql / ṣwḍ / wala / ẓṛ;4.0
homme;argaz / bnadm / uggid;0.7
jour;ass;0.7
vie;buḥbl / tudrt;0.6
eau;aman;0.5
monde;amaḍal;0.5
pays;tamurt;0.5
main;afus;0.4
pain;aɣrum;0.4
tête;agayyu / axsas / axcac / aqllal / aqrru / aqcac / aqyyuɛ / azllif / ixf / tacakka;0.4
bois;akccuḍ / asɣar / iflu;0.3
chat;amaccu / amucc / amcic;0.3
ciel;agnna / ajnna / ignna;0.3
cuir;ilm / tisrki;0.3
herbe;tuga;0.3
laine;taḍuft / taḍut;0.3
lune;ayyur / tiziri;0.3
mer;ill;0.3
pont;amzzgr / tilggʷit;0.3
route;abrid  / aɣaras;0.3
soie;amṭṭalfu / tawsayt;0.3
table;tadabut / taṭṭblat;0.3
usine;asakʷn;0.3
voie;asaka / taɣarast;0.3
anus;afli / asuḍ / aṣṛmum / azbbur / imi n uxna / tamunni / tiṭṭ n uxna;0.08
cou;ajṛniḍ / amggṛḍ / iri / mnjy / tamggṛḍt;0.08
dent;axs / tiɣmst / tuɣmst;0.08
doigt;aḍaḍ;0.08
dos;akrum / aɛrur / tadawt / taɛrurt / tiwa;0.08
foie;asagl / tasa / tacwit;0.08
genou;afud;0.08
jambe;aḍaṛ / amzzill / aẓumẓ;0.08
nerf;azllum / usur / taɣuṣmt;0.08
nez;axmmuy / anzarn / inxar / tinzar;0.08
os;aqrbabbu / iɣss;0.08
ovule;taglayuct / tamllaluct;0.08
peau;abṭṭan / aɣrus / aslix / acbab / ilm / tamlixt;0.08
rate;inṛfḍ / anguf;0.08
rein;tigẓẓlt;0.08
sang;idammn;0.08
sein;abbic / iff / tabbuct / tabzzult / tasumumt / tibbit;0.08
utérus;arɣn / asirw;0.08
vagin;abccun / adhkan / aḥtcun / bcci;0.08
voix;agṛḍ / aḥrsi / inẓi / taqqayt / tamijja;0.08
bol;agra / tagra / tazlaft / taẓḍuḍa / taẓwayt / timkilt;0.005
bras;arbi / iɣil;0.005
facteur;bu tbratin;0.005
foin;axcliɛ;0.005
fond;abuḍ / abraw / allaɣ / izdar;0.005
hyène;aridal / ifis / mccɣyul / tazuri / tuɛra / tursla;0.005
hôtel;asnsu;0.005
jeune;aḥudri / amẓẓyan / imẓiy / aẓummi / uẓum;0.005
jurer;ggall;0.005
lait;akʷfay / aɣɣu;0.005
mai;mayyu;0.005
melon;abttix / lmnun;0.005
nuque;aqlqul / ḥngi / tagrninna / taḥdjamt / taqnctlla / tiwa;0.005
rue;tasukt;0.005
tige;taṣṭṭa;0.005
tisser;gr aẓṭṭa / drrz / ẓḍ;0.005
unité;afrdis / tagzzumt;0.005
veuf;adgal;0.005
Abattoirs communaux;isɣras imgrutn;0.001
Adapter;ksi (- sg);0.001
Bassin d'audience;;0.001
Bien que cette décision ne m'arrange pas, je n'y peux rien;;0.001
Bilitère;bu sin iskkiln;0.001
Biodiversité;amyanaw n imaddarn;0.001
Bloc;bluk;0.001
Boîte à idées;tafniqt n tsumar;0.001
Bâtonnier;amzwar n imstann / amɣar n imstann;0.001
Campus universitaire;;0.001
Casier judicaire;alug azrfan;0.001
Centre de prévision météorologique;ammas n usnimal n unzwi;0.001
Dieu;akuc / bab n ignwan / bu itran / ṛbbi;0.001
Douze;sin d mraw;0.001
Décentralisé;ur innummsn;0.001
Délégation provinciale;tamurayt tasgawant / tasmirit tasgawant;0.001
Délégation régionale;tamurayt tanmnaḍt / tasmirit tanmnaḍt;0.001
Dépôt communal;tisgit tamgrut;0.001
Dériver (tr.);ssufɣ (-sg);0.001
Edition (informations);inɣmisn;0.001
Electroencéphalogramme;unuɣ uẓṛiṛ n wanlli;0.001
En détail (vente), En détail;s tgzamt;0.001
Energie renouvelable;taẓḍaṛt ittusmaynun;0.001
Fais ce que veut ton père;skr ɣiklli ira babak;0.001
Fait;imggi / imjṛi;0.001
Flash d'information;;0.001
Groupe de recherche;tarabbut n urzzu;0.001
Habous;lḥubus;0.001
Heure;asrag / tassaɛt;0.001
Homme d'affaire;;0.001
Idéalisé;s tfilawt;0.001
Il a mangé plusieurs oranges;icca mnct talitcinin;0.001
Il a neigé;iwta udfl;0.001
Il fait chaud;iḥma lḥal / irɣa lḥal;0.001
Il fait frais;izuzwa lḥal;0.001
Il fait jour;ifaw lḥal / iffu lḥal;0.001
Il fait lourd;ibdd lḥal / iqqn lḥal / iɣuf lḥal;0.001
Il fait nuit;ḍṛnt tillas;0.001
Il n'est même pas allé voir sa mère;;0.001
Il pleut des cordes;usin waman aman;0.001
Il sortira demain;ad iffɣ tiwcca;0.001
"Il vente ; le vent souffle";ar ittṣuḍ waḍu;0.001
Il y a une embellie;iffɣ d lḥal;0.001
Ils sont entrés en une seule fois;kcmn d g yat tmnida;0.001
Image poétique, Figure de style;tawlaft timzlit;0.001
Islam;lislam;0.001
Kimono;akimunu;0.001
L'avalanche s'est déclenchée.;;0.001
L'obscurité règne;;0.001
La foudre a éclaté;tṭṭiqs tgnut;0.001
La foudre a éclaté.;iṭṭuqqẓ waggag;0.001
La lune s'est levée.;;0.001
La pleine lune est apparue.;tssigg d tziri;0.001
La période chaude a commencé.;kcmnt ṣṣmaym / udfnt ṣṣmaym;0.001
La période chaude est terminée.;ffɣnt ṣṣmaym;0.001
La période froide de l'année est terminée.;;0.001
Langue maternelle;tutlayt taymmat;0.001
Le froid s'est installé;;0.001
Le soleil donne dans …;tgr tafukt g ...;0.001
Le soleil s'est couché.;;0.001
Le tonnerre gronde;la tsawal tgnut;0.001
"Le tonnerre gronde ; il tonne.";inhm waggag;0.001
Marché de gros;agadaz s tugt;0.001
Maroquinerie;iyafutn n yilm;0.001
Marque collective;tamatart tamgrawt;0.001
Médiathèque;tasdlist tasliẓiṛt;0.001
Nations Unies;timtta imunn;0.001
Noix;taddujt / dduj / taɣyayt;0.001
Non commercial;war awttas asɣnzi;0.001
Oasis;taɣla / taẓnigt;0.001
Ordonnancement;;0.001
Ordre judiciaire;anaḍ azrfan;0.001
Organisation Mondiale de la Santé (OMS);tamaddast tamaḍlant n tdusi;0.001
Organisation Non Gouvernementale (ONG);tamaddast ur iḍfaṛn tanbaḍt;0.001
Orphelinat;taddart n igujiln / tasgujilt;0.001
Pan système;;0.001
Parties du discours;ifrdas n wawal;0.001
Quadrilitère;bu kkuẓ iskkiln;0.001
Quarante;sin wagnarn;0.001
Rif;rrif;0.001
Réaliser;ssufɣ (-d) / ssḍṛu;0.001
Régie de recettes;tasḥḍawt n tnudaf;0.001
Réingénierie;allas n utwal;0.001
Réintegration;allas n uskcm;0.001
Répartition par niveaux;taṭṭut s uswir;0.001
Santé reproductive;tadusi tamarrawt;0.001
Santé sexuelle;tadusi tawsyant;0.001
Secrétaire d'Etat;;0.001
Secrétariat général;tanflust tamatayt;0.001
Sida;ssida;0.001
Soja;ṣṣuja;0.001
Tente;axam / taxamt / agiṭun / axzan / aqiḍun;0.001
Télé;;0.001
Utilité publique;tanafut tagdudant;0.001
Vendeur  de vêtements;imzznz n tmlsa;0.001
Visa;tuẓṛit;0.001
Wakf (donation faite à perpétuité par un particulier à une œuvre d’utilité publique;lwaqf;0.001
Wali;lwali;0.001
abandon scolaire;tifli tanmlant;0.001
abjuration, apostasie;ufuɣ sg usgd;0.001
abrasion dentaire;anḥad n tɣmas;0.001
abri;asnfi;0.001
abus;asugt;0.001
accessoires de bain;iqcucn n tarda;0.001
accompagnement;tamunt / tamunt akd;0.001
accompli négatif;usmid anabaw;0.001
accouchement par césarienne;;0.001
accouchement prématuré;tarwa ur ismdn;0.001
accès de fièvre;alay n tmssi / aɣlay n tawla / aɣlay n trɣi;0.001
accès privé;asadf uslig;0.001
accès public;asadf agdudan;0.001
acné juvénile;;0.001
acte;alkaɣiṭ;0.001
acte d'état civil;;0.001
acte de naissance;arra n tlalit;0.001
action publique;aṣṛaḍ agdudan;0.001
administration centrale;tamssugurt tanammast;0.001
administration pénitentiaire;tamssugurt n iɣzwan;0.001
administration territoriale;tamssugurt n wakal;0.001
adresse postale;ansa asaway;0.001
adresse électronique;ansa alikṭṛuni;0.001
agence judiciaire;tasnurayt tazrfant;0.001
agent de la circulation;amawas n usikl;0.001
agonie;amuɣɣuy / izuma n tmttant;0.001
aide;aggʷas / amawas / awwas / tibidda / tiwisi;0.001
aider, épauler, assister;bdd akd;0.001
ail;tiskrt;0.001
aile;afr / afraw / tafrt;0.001
aine;asmɣur / awlal / taba / amnzu / ixfddi;0.001
air;aḍu;0.001
air antarctique;aḍu n usanuḍ n iffus;0.001
air continental;aḍu amnẓaw;0.001
air instable;aḍu ur izgin;0.001
air polaire;aḍu amsnuḍ;0.001
air pur;aḍu izddign;0.001
air sec;aḍu izwan / aḍu yuzɣn;0.001
air stable;aḍu iṛṣan;0.001
air tropical;aḍu amnanaḍ;0.001
air équatorial;aḍu n ukwatur;0.001
aire;asurg;0.001
aire cérébrale;tamnaḍt n wallxf / tamnaḍt n wanlli;0.001
aire sensitive;tamnaḍt n takayt;0.001
aire visuelle;tamnaḍt n yiẓṛi;0.001
aisselle;ddaw n tayt / tabqt / taddɣt / taydt;0.001
ajournement;asgir n tizi;0.001
alcoolique (matière);n walkul;0.001
alfa;ari / awddim / awri / tagrzi / tamatrt / tigẓḍmt;0.001
alun;aẓaṛif;0.001
amas;agudi / aqzzuy;0.001
amen;amin;0.001
amer;amṛẓag / ḥṛṛu;0.001
ami;amddakkʷl / amidi;0.001
ange;anglus;0.001
anis;wamsa;0.001
anse;afus / akaram / asagl;0.001
apex;afa / ticcut;0.001
arc;tiskt;0.001
ardu;mray;0.001
arme;akrrad;0.001
armer;skrrd;0.001
art;taẓuṛi;0.001
aube;tambabst / taylgi / tifawt / tufat;0.001
auge;asds;0.001
aval;amadl n uɣzar / amzdar;0.001
avec;ag(d) / akd / d;0.001
avis;aɛlam / tusmirt;0.001
axe;akum / asgum / tamrnut / tigzwt;0.001
bactériophage;mcc baktiri;0.001
baie;aqqa / aslallu;0.001
bail;arra n uɣafir;0.001
bain;tuccft;0.001
ballonnement;;0.001
banc des accusés;tadabut n imrdayn;0.001
bande annonce;asfif n tusmirt;0.001
bande côtière;asddi anslim;0.001
bande de fréquence;tamzazt n isnagarn;0.001
bande dunaire;asddi igidi;0.001
banque d'informations;;0.001
banque de sang;lbank n idammn;0.001
barrage collinaire;uggug n wawrir;0.001
barreau;agraw n imstann;0.001
barrière de confinement;;0.001
barrière à neige;iziki n udfl;0.001
barrières douanières;ifragn idiwann;0.001
barème de notation;amsɣal n usnqḍ;0.001
bas;adda / amazdar / anadda / izdar / wadday;0.001
bas de page;anadda n tsna;0.001
base;abuḍ / tasila / tasslt;0.001
base de connaissances;tasila n tussniwin;0.001
base de données;tasila n isfka / tasila n tmuca;0.001
