Français;Kabyle;Fréquence_Pourcentage;Niveau
être;blɣ / g / ili / tilit / tuɣa;15.0;1
Venir;ddu (-d) / as;5.0;1
dire;ini / nẓṛ;4.5;1
voir;annay / xzr / isidd / iẓiṛ / llm / matr / ṛaɛa / sksiw / sksu / suqql / ṣwḍ / wala / ẓṛ;4.0;1
homme;argaz / bnadm / uggid;0.7;1
jour;ass;0.7;1
vie;buḥbl / tudrt;0.6;1
eau;aman;0.5;1
monde;amaḍal;0.5;1
pays;tamurt;0.5;1
main;afus;0.4;1
pain;aɣrum;0.4;1
tête;agayyu / axsas / axcac / aqllal / aqrru / aqcac / aqyyuɛ / azllif / ixf / tacakka;0.4;1
bois;akccuḍ / asɣar / iflu;0.3;1
chat;amaccu / amucc / amcic;0.3;1
ciel;agnna / ajnna / ignna;0.3;1
cuir;ilm / tisrki;0.3;1
herbe;tuga;0.3;1
laine;taḍuft / taḍut;0.3;1
lune;ayyur / tiziri;0.3;1
mer;ill;0.3;1
pont;amzzgr / tilggʷit;0.3;1
route;abrid  / aɣaras;0.3;1
soie;amṭṭalfu / tawsayt;0.3;1
table;tadabut / taṭṭblat;0.3;1
usine;asakʷn;0.3;1
voie;asaka / taɣarast;0.3;1
anus;afli / asuḍ / aṣṛmum / azbbur / imi n uxna / tamunni / tiṭṭ n uxna;0.08;1
cou;ajṛniḍ / amggṛḍ / iri / mnjy / tamggṛḍt;0.08;1
dent;axs / tiɣmst / tuɣmst;0.08;1
doigt;aḍaḍ;0.08;1
dos;akrum / aɛrur / tadawt / taɛrurt / tiwa;0.08;1
foie;asagl / tasa / tacwit;0.08;1
genou;afud;0.08;1
jambe;aḍaṛ / amzzill / aẓumẓ;0.08;1
nerf;azllum / usur / taɣuṣmt;0.08;1
nez;axmmuy / anzarn / inxar / tinzar;0.08;1
os;aqrbabbu / iɣss;0.08;1
ovule;taglayuct / tamllaluct;0.08;1
peau;abṭṭan / aɣrus / aslix / acbab / ilm / tamlixt;0.08;1
rate;inṛfḍ / anguf;0.08;1
rein;tigẓẓlt;0.08;1
sang;idammn;0.08;1
sein;abbic / iff / tabbuct / tabzzult / tasumumt / tibbit;0.08;1
utérus;arɣn / asirw;0.08;1
vagin;abccun / adhkan / aḥtcun / bcci;0.08;1
voix;agṛḍ / aḥrsi / inẓi / taqqayt / tamijja;0.08;1
bol;agra / tagra / tazlaft / taẓḍuḍa / taẓwayt / timkilt;0.005;1
bras;arbi / iɣil;0.005;1
facteur;bu tbratin;0.005;1
foin;axcliɛ;0.005;1
fond;abuḍ / abraw / allaɣ / izdar;0.005;1
hyène;aridal / ifis / mccɣyul / tazuri / tuɛra / tursla;0.005;1
hôtel;asnsu;0.005;1
jeune;aḥudri / amẓẓyan / imẓiy / aẓummi / uẓum;0.005;1
jurer;ggall;0.005;1
lait;akʷfay / aɣɣu;0.005;1
mai;mayyu;0.005;1
melon;abttix / lmnun;0.005;1
nuque;aqlqul / ḥngi / tagrninna / taḥdjamt / taqnctlla / tiwa;0.005;1
rue;tasukt;0.005;1
tige;taṣṭṭa;0.005;1
tisser;gr aẓṭṭa / drrz / ẓḍ;0.005;1
unité;afrdis / tagzzumt;0.005;1
veuf;adgal;0.005;1
Abattoirs communaux;isɣras imgrutn;0.001;1
Adapter;ksi (- sg);0.001;1
Bassin d'audience;;0.001;1
Bien que cette décision ne m'arrange pas, je n'y peux rien;;0.001;1
Bilitère;bu sin iskkiln;0.001;1
Biodiversité;amyanaw n imaddarn;0.001;1
Bloc;bluk;0.001;1
Boîte à idées;tafniqt n tsumar;0.001;1
Bâtonnier;amzwar n imstann / amɣar n imstann;0.001;1
Campus universitaire;;0.001;1
Casier judicaire;alug azrfan;0.001;1
Centre de prévision météorologique;ammas n usnimal n unzwi;0.001;1
Dieu;akuc / bab n ignwan / bu itran / ṛbbi;0.001;1
Douze;sin d mraw;0.001;1
Décentralisé;ur innummsn;0.001;1
Délégation provinciale;tamurayt tasgawant / tasmirit tasgawant;0.001;1
Délégation régionale;tamurayt tanmnaḍt / tasmirit tanmnaḍt;0.001;1
Dépôt communal;tisgit tamgrut;0.001;1
Dériver (tr.);ssufɣ (-sg);0.001;1
Edition (informations);inɣmisn;0.001;1
Electroencéphalogramme;unuɣ uẓṛiṛ n wanlli;0.001;1
En détail (vente), En détail;s tgzamt;0.001;1
Energie renouvelable;taẓḍaṛt ittusmaynun;0.001;1
Fais ce que veut ton père;skr ɣiklli ira babak;0.001;1
Fait;imggi / imjṛi;0.001;1
Flash d'information;;0.001;1
Groupe de recherche;tarabbut n urzzu;0.001;1
Habous;lḥubus;0.001;1
Heure;asrag / tassaɛt;0.001;1
Homme d'affaire;;0.001;1
Idéalisé;s tfilawt;0.001;1
Il a mangé plusieurs oranges;icca mnct talitcinin;0.001;1
Il a neigé;iwta udfl;0.001;1
Il fait chaud;iḥma lḥal / irɣa lḥal;0.001;1
Il fait frais;izuzwa lḥal;0.001;1
Il fait jour;ifaw lḥal / iffu lḥal;0.001;1
Il fait lourd;ibdd lḥal / iqqn lḥal / iɣuf lḥal;0.001;1
Il fait nuit;ḍṛnt tillas;0.001;1
Il n'est même pas allé voir sa mère;;0.001;1
Il pleut des cordes;usin waman aman;0.001;1
Il sortira demain;ad iffɣ tiwcca;0.001;1
"Il vente ; le vent souffle";ar ittṣuḍ waḍu;0.001;1
Il y a une embellie;iffɣ d lḥal;0.001;1
Ils sont entrés en une seule fois;kcmn d g yat tmnida;0.001;1
Image poétique, Figure de style;tawlaft timzlit;0.001;1
Islam;lislam;0.001;1
Kimono;akimunu;0.001;1
L'avalanche s'est déclenchée.;;0.001;1
L'obscurité règne;;0.001;1
La foudre a éclaté;tṭṭiqs tgnut;0.001;1
La foudre a éclaté.;iṭṭuqqẓ waggag;0.001;1
La lune s'est levée.;;0.001;1
La pleine lune est apparue.;tssigg d tziri;0.001;1
La période chaude a commencé.;kcmnt ṣṣmaym / udfnt ṣṣmaym;0.001;1
La période chaude est terminée.;ffɣnt ṣṣmaym;0.001;1
La période froide de l'année est terminée.;;0.001;1
Langue maternelle;tutlayt taymmat;0.001;1
Le froid s'est installé;;0.001;1
Le soleil donne dans …;tgr tafukt g ...;0.001;1
Le soleil s'est couché.;;0.001;1
Le tonnerre gronde;la tsawal tgnut;0.001;1
"Le tonnerre gronde ; il tonne.";inhm waggag;0.001;1
Marché de gros;agadaz s tugt;0.001;1
Maroquinerie;iyafutn n yilm;0.001;1
Marque collective;tamatart tamgrawt;0.001;1
Médiathèque;tasdlist tasliẓiṛt;0.001;1
Nations Unies;timtta imunn;0.001;1
Noix;taddujt / dduj / taɣyayt;0.001;1
Non commercial;war awttas asɣnzi;0.001;1
Oasis;taɣla / taẓnigt;0.001;1
Ordonnancement;;0.001;1
Ordre judiciaire;anaḍ azrfan;0.001;1
Organisation Mondiale de la Santé (OMS);tamaddast tamaḍlant n tdusi;0.001;1
Organisation Non Gouvernementale (ONG);tamaddast ur iḍfaṛn tanbaḍt;0.001;1
Orphelinat;taddart n igujiln / tasgujilt;0.001;1
Pan système;;0.001;1
Parties du discours;ifrdas n wawal;0.001;1
Quadrilitère;bu kkuẓ iskkiln;0.001;1
Quarante;sin wagnarn;0.001;1
Rif;rrif;0.001;1
Réaliser;ssufɣ (-d) / ssḍṛu;0.001;1
Régie de recettes;tasḥḍawt n tnudaf;0.001;1
Réingénierie;allas n utwal;0.001;1
Réintegration;allas n uskcm;0.001;1
Répartition par niveaux;taṭṭut s uswir;0.001;1
Santé reproductive;tadusi tamarrawt;0.001;1
Santé sexuelle;tadusi tawsyant;0.001;1
Secrétaire d'Etat;;0.001;1
Secrétariat général;tanflust tamatayt;0.001;1
Sida;ssida;0.001;1
Soja;ṣṣuja;0.001;1
Tente;axam / taxamt / agiṭun / axzan / aqiḍun;0.001;1
Télé;;0.001;1
Utilité publique;tanafut tagdudant;0.001;1
Vendeur  de vêtements;imzznz n tmlsa;0.001;1
Visa;tuẓṛit;0.001;1
Wakf (donation faite à perpétuité par un particulier à une œuvre d’utilité publique;lwaqf;0.001;1
Wali;lwali;0.001;1
abandon scolaire;tifli tanmlant;0.001;1
abjuration, apostasie;ufuɣ sg usgd;0.001;1
abrasion dentaire;anḥad n tɣmas;0.001;1
abri;asnfi;0.001;1
abus;asugt;0.001;2
accessoires de bain;iqcucn n tarda;0.001;2
accompagnement;tamunt / tamunt akd;0.001;2
accompli négatif;usmid anabaw;0.001;2
accouchement par césarienne;;0.001;2
accouchement prématuré;tarwa ur ismdn;0.001;2
accès de fièvre;alay n tmssi / aɣlay n tawla / aɣlay n trɣi;0.001;2
accès privé;asadf uslig;0.001;2
accès public;asadf agdudan;0.001;2
acné juvénile;;0.001;2
acte;alkaɣiṭ;0.001;2
acte d'état civil;;0.001;2
acte de naissance;arra n tlalit;0.001;2
action publique;aṣṛaḍ agdudan;0.001;2
administration centrale;tamssugurt tanammast;0.001;2
administration pénitentiaire;tamssugurt n iɣzwan;0.001;2
administration territoriale;tamssugurt n wakal;0.001;2
adresse postale;ansa asaway;0.001;2
adresse électronique;ansa alikṭṛuni;0.001;2
agence judiciaire;tasnurayt tazrfant;0.001;2
agent de la circulation;amawas n usikl;0.001;2
agonie;amuɣɣuy / izuma n tmttant;0.001;2
aide;aggʷas / amawas / awwas / tibidda / tiwisi;0.001;2
aider, épauler, assister;bdd akd;0.001;2
ail;tiskrt;0.001;2
aile;afr / afraw / tafrt;0.001;2
aine;asmɣur / awlal / taba / amnzu / ixfddi;0.001;2
air;aḍu;0.001;2
air antarctique;aḍu n usanuḍ n iffus;0.001;2
air continental;aḍu amnẓaw;0.001;2
air instable;aḍu ur izgin;0.001;2
air polaire;aḍu amsnuḍ;0.001;2
air pur;aḍu izddign;0.001;2
air sec;aḍu izwan / aḍu yuzɣn;0.001;2
air stable;aḍu iṛṣan;0.001;2
air tropical;aḍu amnanaḍ;0.001;2
air équatorial;aḍu n ukwatur;0.001;2
aire;asurg;0.001;2
aire cérébrale;tamnaḍt n wallxf / tamnaḍt n wanlli;0.001;2
aire sensitive;tamnaḍt n takayt;0.001;2
aire visuelle;tamnaḍt n yiẓṛi;0.001;2
aisselle;ddaw n tayt / tabqt / taddɣt / taydt;0.001;2
ajournement;asgir n tizi;0.001;2
alcoolique (matière);n walkul;0.001;2
alfa;ari / awddim / awri / tagrzi / tamatrt / tigẓḍmt;0.001;2
