Français,Kabyle,Catégorie,Prononciation,Audio URL (optionnel),Catégorie Fréquence
combat,imenɣi,,,,Courant
chat,amcic,,,,Courant
nez,inzer,,,,Courant
lycée,aɣerbaz alemmas,,,,Courant
vent,adu,,,,Courant
emmener,axi,,,,Courant
restaurant,asaccu,,,,Courant
jambe,aqejjir,,,,Moyennement courant
annoncer,berreḥ,,,,Moyennement courant
population,aɣref,,,,Moyennement courant
pont,tasegḍemt,,,,Moyennement courant
chaussure,arkas,,,,Moyennement courant
frontière,tilisa,,,,Moyennement courant
manuel,awfus,,,,Moyennement courant
pain,aɣrum,,,,Moyennement courant
lâcher,sarreḥ,,,,Moyennement courant
poulet,ayaziḍ,,,,Moyennement courant
national,amuran,,,,Moyennement courant
sourire,acmumeḥ,,,,Moyennement courant
amitié,tidukla,,,,Moyennement courant
manteau,azennaṛ,,,,Moyennement courant
front,ayendur,,,,Moyennement courant
laver,ssired,,,,Moyennement courant
lendemain,sla azekka,,,,Moyennement courant
dent,tuɣmest,,,,Moyennement courant
coté,idmer,,,,Moyennement courant
liaison,tamɣunt,,,,Moyennement courant
interdit,yegdel,,,,Moyennement courant
château,tiɣremt,,,,Moyennement courant
bol,aqedduḥ,,,,Moyennement courant
transport,amesni,,,,Moyennement courant
unité,aferdis,,,,Moyennement courant
salon,tamesrit,,,,Moyennement courant
mai,mayu,,,,Moyennement courant
chapeau,arazal,,,,Moyennement courant
enveloppe,tajellabt,,,,Moyennement courant
baisse,asider,,,,Moyennement courant
plante,imγi,,,,Moyennement courant
nourrir,seçç,,,,Moyennement courant
rapporter,neqqes,,,,Moyennement courant
souci,taremmiɣt,,,,Moyennement courant
fromage,aguglu,,,,Moyennement courant
facteur,ameskar,,,,Peu courant
exiler,nfu,,,,Peu courant
cuire,senwu,,,,Peu courant
lisse,aslufan,,,,Peu courant
boiteux,arejdal,,,,Peu courant
les bouches,immawen,,,,Peu courant
silène enflée,taɣiɣact,,,,Peu courant
compenser,ɣrem,,,,Peu courant
les neveux,iyyawen,,,,Peu courant
équitation,tanaka,,,,Peu courant
racine ou nerf / veine ou race,aẓar,,,,Peu courant
lait (petit)- lait caillé,ikil,,,,Peu courant
vacarme (faire du),sderdeḥ,,,,Peu courant
orteil ou quartier d'orange – mandarine etc,tifdent tifednet,,,,Peu courant
figue fraîche,tabexsist,,,,Peu courant
grandes barbes,icamaren,,,,Peu courant
chauve,aferḍas,,,,Peu courant
céphalée,nnazla,,,,Peu courant
mamelon,tagma,,,,Peu courant
doléance - grief,anezmi,,,,Peu courant
centaurée,arjagnu qlilu,,,,Peu courant
laitue,tamafart,,,,Peu courant
chicorée,tiffaf,,,,Peu courant
chuchoter,ḥtiti,,,,Peu courant
armoise de l’atlas,izri - ifsi - ccih,,,,Peu courant
épine,assennan,,,,Peu courant
pureté,tazedgi,,,,Peu courant
alléger,sisfus,,,,Peu courant
tourteau d'olives,amegruc,,,,Peu courant
beau-frère,alwes,,,,Peu courant
assoupir (s'),nuddem,,,,Peu courant
cité université,tudurt tasdawiyant,,,,Peu courant
foin,asaγur - ahicur - thuga,,,,Peu courant
formule,tanfaliṭ,,,,Peu courant
tisser,eẓḍ,,,,Peu courant
molaire,tisyert,,,,Peu courant
sociable,amtiw,,,,Peu courant
chauffer,sseḥmu,,,,Peu courant
patte d'animal griffu ou griffe du chat,akabbar,,,,Peu courant
démolir,sedrem,,,,Peu courant
petit hôtel,asensu,,,,Peu courant
seigle,tisentit,,,,Peu courant
epinard,tibidas,,,,Peu courant
lutter,nnaɣ,,,,Peu courant
les coudes,tiɣemrin,,,,Peu courant
sauge,agurim,,,,Peu courant
poignet ou chêne vert (arbre),taxlift,,,,Peu courant
trèfle,ikfis,,,,Peu courant
chèvre- feuille,anaref - iffer teɣṭen,,,,Peu courant
tige,aɣedde,,,,Peu courant
aux retrouvailles,ar tufat,,,,Peu courant
orphelin,agujil,,,,Peu courant
bosse (ailleurs que sur le dos),takeẓẓult,,,,Peu courant
mariées,tislatin,,,,Peu courant
le veuf,ajjal,,,,Peu courant
peaux,igelman,,,,Peu courant
roseau,aγanim,,,,Peu courant
formel,alɣawi,,,,Peu courant
tablier,tabanka,,,,Peu courant
escargot,aɣellal,,,,Peu courant
melon,afeqqus,,,,Peu courant
aubépine,idmim - zaεrour,,,,Peu courant
moucher (se),nsar,,,,Peu courant
aulne,asɣersif,,,,Peu courant
