mot francais;traduction kabyle;commentaires;exemple
moi;nekk (var. nekki);Nekk d amdan.;Moi, je suis une personne.
toi;kečč (masc.), kemm (fém.);Kečč d amdan.;Toi, tu es une personne.
lui;netta;Netta yella di wexxam.;Il est à la maison.
elle;nettat;Nettat tella di wexxam.;Elle est à la maison.
nous;nekkni;Nekkni d yemdanen.;Nous sommes des personnes.
vous;kunwi;Kunwi d yemdanen.;Vous êtes des personnes.
eux;nitni;Nitni d yemdanen.;Eux, ce sont des personnes.
nom;isem;Isem-iw d Karim.;Mon nom est Karim.
prénom;isem (prénom);Isem-is d Salim.;Son prénom est Salim.
âge;aẓa;Ɣur-i 30 n iseggassen.;J’ai 30 ans.
pays;tamurt;Tamurt-iw d Fransa.;Mon pays est la France.
ville;tamdint;Tamdint-iw d Paris.;Ma ville est Paris.
nationalité;nasyonaliti;Nasyonalitiw d fransi.;Ma nationalité est française.
père;baba;Baba-iw yella di wexxam.;Mon père est à la maison.
mère;yemma;Yemma-iw tella di wexxam.;Ma mère est à la maison.
frère;gma;Gma-iw yella di taddart.;Mon frère est au village.
sœur;weltma;Weltma-iw tella di tamdint.;Ma sœur est en ville.
enfant;aqcic (garçon) / taceccit (fille);Aqcic yella di wexxam.;L’enfant (garçon) est à la maison.
bébé;mummu;Mummu yella di wexxam.;Le bébé est à la maison.
grand-père;jeddi;Jeddi-iw yella di taddart.;Mon grand-père est au village.
grand-mère;jedda;Jedda-iw tella di wexxam.;Ma grand-mère est à la maison.
tante;ɛemti (paternelle) / xalt (maternelle);Xalt-iw tella di tamdint.;Ma tante (maternelle) est en ville.
cousin;mmi-s n ɛemmi / n xali (masc.);Mmi-s n ɛemmi yusa ass-a.;Le fils de mon oncle (mon cousin) est venu aujourd’hui.
cousine;ulti-s n ɛemmi / n xali (fém.);Ulti-s n xali tettɣeṛ adlis.;La fille de mon oncle (ma cousine) lit un livre.
mari;argaz ( « mon mari » : argaz-iw );Argaz-iw yella di wexxam.;Mon mari est à la maison.
femme (épouse);tameṭṭut ( « ma femme » : tameṭṭut-iw );Tameṭṭut-iw tella di wexxam.;Ma femme est à la maison.
ami;ameddakel;Ameddakel-iw yusa ɣer wexxam.;Mon ami est venu à la maison.
amie;tameddakelt;Tameddakelt-iw tella dagi.;Mon amie est ici.
voisin;adjar;Adjar-iw yefk-as tacrict.;Mon voisin lui a donné une aide.
voisine;tadjart (aussi adjar invariable);Tadjart-iw tella di taddart.;Ma voisine est au village.
maison;axxam;Nekk di wexxam.;Je suis à la maison.
appartement;tamudrut;Tettzdeɣ di tamudrut.;Elle habite en appartement.
chambre;taxxamt;Taxxamt-a d tameqqrant.;Cette chambre est grande.
salon;tazeɣimit;Nnig tazeɣimit neččaɣ.;On mange au salon.
cuisine;tanwalt;Tanwalt tella d tazɣagt.;La cuisine est propre.
salle de bain;tazeqcaft (alt. taxxam n lma);Yekker ɣer tazeqcaft.;Il est entré dans la salle de bain.
lit;lita (emprunt usuel);Yegdem ɣer lita.;Il va au lit.
table;ṭabla;Ssenqed ɣef ṭabla.;On met la table.
chaise;akkersi (alt. kursi);Qəḍeɣ ɣef akkersi.;Je m’assois sur la chaise.
canapé;ikanapi (alt. imetṭrab);Rzen ɣer ikanapi.;Ils se reposent sur le canapé.
armoire;taxzant (alt. ṭarma);Tegg tiddukla deg taxzant.;Elle range les vêtements dans l’armoire.
miroir;amray (usuel), alt. emprunts locaux;Yuɣal ɣer umray.;Il se regarde dans le miroir.
porte;tawurt;Mdel tawurt, ma ulac aɣilif.;Ferme la porte, s’il te plaît.
fenêtre;"fennitra (emprunt courant ; alt. taq ancien)";Lli fennitra.;Ouvre la fenêtre.
clé;tasarut;Sken tasarut di tfella.;Mets la clé dans la serrure.
mur;afrag;Iruḥ ɣer wefragh.;Il va vers le mur.
sol;aṣaḍ (intérieur / plancher);Sfeḍ ɣef waṣaḍ.;Marche sur le sol.
plafond;sqef (emprunt stabilisé);Abrid iɛella ɣer s-seqef.;Le fil va jusqu’au plafond.
cuillère;taɣenjayt;Serreɣ taɣenjayt ɣef aṭṭas.;Je pose la cuillère sur la table.
fourchette;tazzert (alt. usuel furšit emprunt);Ttuğeḍ s tazzert.;Tu manges avec une fourchette.
couteau;mus (emprunt très courant);Gzem s w-mus.;Coupe avec le couteau.
assiette;ṣḥan / aḍebsi (selon usage);Rzen asekri deg ṣḥan.;Ils mettent le plat dans l’assiette.
verre;lkas;Sew si lkas aman.;Bois de l’eau dans le verre.
tasse;tassa (pour boisson chaude);Sew aṭay deg t-tassa.;Bois le thé dans la tasse.
frigo;ifrigo;Sers aman deg ifrigo.;Mets l’eau au frigo.
four (four/oven);afurnu;Ssekru afurnu.;Allume le four.
lumière;tafat (lumière), tizdayt (lampe);Ttafet tella d tameqqrant.;La lumière est forte.
eau;aman;Sew aman, ma ulac aɣilif.;Bois de l’eau, s’il te plaît.
feu;timest;Ur qqen ara i t-timest.;Ne touche pas au feu.
électricité;trisiti (emprunt);Trisiti tḥebbess ass-a.;L’électricité est coupée aujourd’hui.
aujourd’hui;ass-a;Ass-a ara n-ruḥ.;Aujourd’hui on partira.
demain;azekka;Azekka ad nermes.;Demain, on écrira.
hier;iḍelli;Iḍelli yusa ameddakel-iw.;Hier mon ami est venu.
matin;ṣṣbeḥ (matin), alt. ifaw;Di ṣṣbeḥ ad n-sew aṭay.;Le matin, on boira du thé.
après-midi;talgat;Talgat ad nemɣer.;L’après-midi, nous sortirons.
soir;asra (soirée), (alt. tin yits);Di l-asra ad neqqar.;Le soir, nous lirons.
nuit;iḍ;Di iḍ ad nesni.;La nuit, nous dormons.
heure;tassaɛt;Tassaɛt-k acḥal?;Il est quelle heure ?
minute;timinut;Sber timinut sennig.;Attends une minute, stp.
seconde;tasnidt (2ᵉ : emprunt tsaniya);Sber tasnidt.;Attends une seconde.
jour;ass;Ass-a d ameqqran.;Cette journée est importante.
semaine;azlam (variante);Di w-azlam ad nḥerrez.;Cette semaine, on travaille.
mois;ayyur;Ayyur-a d yulyu.;Ce mois, c’est juillet.
année;aseggas;Aseggas amaynut iɣeṛ.;La nouvelle année arrive.
lundi;aynas;Aynas ad nebdu.;Lundi, on commence.
mardi;asinas;Asinas ad nɣeṛ.;Mardi, on lira.
mercredi;akras;Akras ad nsew aman.;Mercredi, on boira de l’eau.
jeudi;akwas;Akwas ad nɛeddi.;Jeudi, on marchera.
vendredi;asimwas;Asimwas ad neqqar.;Vendredi, on lira.
samedi;asidyas;Asidyas ad nennu.;Samedi, on se reposera.
dimanche;asamas;Asamas ad nṛuḥ ɣer taddart.;Dimanche, on ira au village.
maintenant;tura;Tura ad n-bdu.;Maintenant, on commence.
bientôt;akken kan (plutôt « dès que ») / qariban(emprunt « bientôt »);Ad nruḥ qariban.;On partira bientôt.
tard;deffir (plus tard) / i l-axir n llaɛḍa (tard, heure avancée);Ad nnes deffir.;Nous le ferons plus tard.
tôt;tazwara (de bonne heure);Rzu tazwara.;Viens de bonne heure (tôt).
soleil;iṭij (alt. tafukt = lumière/soleil);Iṭij yezga.;Le soleil s’est levé.
lune;ayyur;Ayyur yella deg igenni.;La lune est dans le ciel.
étoile;iṭri;Iṭri yettban di igenni.;L’étoile apparaît dans le ciel.
nuage;asɣan (var. asəgna);Asɣan yecceɛ igenni.;Un nuage couvre le ciel.
pluie;anẓar;Ass-a itta anẓar.;Aujourd’hui il pleut.
neige;adfel;Adfel iḍer ɣef tɣerdayt.;La neige tombe sur la montagne.
vent;aḍu;Aḍu yufa ɣef tizi.;Le vent souffle sur le col.
orage;tignut;Tignut tella ihi.;Il y a de l’orage.
tonnerre;amzẓiɣ (ou expr. amzwar n tignut);Amzẓiɣ yezɣa.;Le tonnerre gronde.
feu;timest;Ur qqen ara i t-timest.;Ne touche pas au feu.
mer;lbaḥr (emprunt usuel);Nruḥ ɣer lbaḥr.;On va à la mer.
rivière;asif;Asif yeɣli ɣer azga.;La rivière coule vers la plaine.
lac;agelmim;Agelmim-a d ameqqran.;Ce lac est grand.
montagne;adrar;Adrar-a d ameqqran.;Cette montagne est grande.
désert;tanezruft;Tanezruft d azɣar.;Le désert est vaste.
arbre;ttejṛa;Ttejṛa t'germi tilawin.;L’arbre donne des fruits.
fleur;tajaḍit;Tajaḍit-a d tazalit.;Cette fleur est belle.
herbe;iccer;Iccer yeqqen ɣef uɣarav.;L’herbe pousse dans le champ.
sable;ijdi;Ijdi yella deg wamanas.;Il y a du sable dans le oued.
pierre;aẓru;Aẓru-a d uɣrum.;Cette pierre est lourde.
animal;ayvan;Ayvan yelli di taddart.;Il y a un animal au village.
poisson;leḥut (emprunt usuel);Neččaɣ leḥut.;Je mange du poisson.
chat;amcic;Amcic yella di wexxam.;Le chat est à la maison.
chien;aqjun;Aqjun yeger ɣer taddart.;Le chien court vers le village.
pain;aɣrum;Aɣrum-a d ameqqran.;Ce pain est grand.
eau;aman;Sew aman, ma ulac aɣilif.;Bois de l’eau, s’il te plaît.
lait;ayefki;Sew ayefki di t-tassa.;Bois du lait dans la tasse.
fromage;frumaj (moderne), takemmart (trad.);Neččaɣ frumaj.;Je mange du fromage.
beurre;zzebda;Serreɣ zzebda ɣef aɣrum.;Je mets du beurre sur le pain.
