kabyle_glide_import_sample20;Niveau
Français;Kabyle;Catégorie;Prononciation;Audio URL (optionnel);Catégorie Fréquence;10
combat;imenɣi;;;;Courant;3
chat;amcic;;;;Courant;3
nez;inzer;;;;Courant;3
lycée;aɣerbaz alemmas;;;;Courant;3
vent;adu;;;;Courant;3
emmener;axi;;;;Courant;3
restaurant;asaccu;;;;Courant;3
jambe;aqejjir;;;;Moyennement courant;5
annoncer;berreḥ;;;;Moyennement courant;5
population;aɣref;;;;Moyennement courant;5
pont;tasegḍemt;;;;Moyennement courant;5
chaussure;arkas;;;;Moyennement courant;5
frontière;tilisa;;;;Moyennement courant;5
manuel;awfus;;;;Moyennement courant;5
pain;aɣrum;;;;Moyennement courant;5
lâcher;sarreḥ;;;;Moyennement courant;5
poulet;ayaziḍ;;;;Moyennement courant;5
national;amuran;;;;Moyennement courant;5
sourire;acmumeḥ;;;;Moyennement courant;5
amitié;tidukla;;;;Moyennement courant;5
manteau;azennaṛ;;;;Moyennement courant;5
front;ayendur;;;;Moyennement courant;5
laver;ssired;;;;Moyennement courant;5
lendemain;sla azekka;;;;Moyennement courant;5
dent;tuɣmest;;;;Moyennement courant;5
coté;idmer;;;;Moyennement courant;5
liaison;tamɣunt;;;;Moyennement courant;5
interdit;yegdel;;;;Moyennement courant;5
château;tiɣremt;;;;Moyennement courant;5
bol;aqedduḥ;;;;Moyennement courant;5
transport;amesni;;;;Moyennement courant;5
unité;aferdis;;;;Moyennement courant;5
salon;tamesrit;;;;Moyennement courant;5
mai;mayu;;;;Moyennement courant;5
chapeau;arazal;;;;Moyennement courant;5
enveloppe;tajellabt;;;;Moyennement courant;5
baisse;asider;;;;Moyennement courant;5
plante;imγi;;;;Moyennement courant;5
nourrir;seçç;;;;Moyennement courant;5
rapporter;neqqes;;;;Moyennement courant;5
souci;taremmiɣt;;;;Moyennement courant;5
fromage;aguglu;;;;Moyennement courant;5
facteur;ameskar;;;;Peu courant;8
exiler;nfu;;;;Peu courant;8
cuire;senwu;;;;Peu courant;8
lisse;aslufan;;;;Peu courant;8
boiteux;arejdal;;;;Peu courant;8
les bouches;immawen;;;;Peu courant;8
silène enflée;taɣiɣact;;;;Peu courant;8
compenser;ɣrem;;;;Peu courant;8
les neveux;iyyawen;;;;Peu courant;8
équitation;tanaka;;;;Peu courant;8
racine ou nerf / veine ou race;aẓar;;;;Peu courant;8
lait (petit)- lait caillé;ikil;;;;Peu courant;8
vacarme (faire du);sderdeḥ;;;;Peu courant;8
orteil ou quartier d'orange – mandarine etc;tifdent tifednet;;;;Peu courant;8
figue fraîche;tabexsist;;;;Peu courant;8
grandes barbes;icamaren;;;;Peu courant;8
chauve;aferḍas;;;;Peu courant;8
céphalée;nnazla;;;;Peu courant;8
mamelon;tagma;;;;Peu courant;8
doléance - grief;anezmi;;;;Peu courant;8
centaurée;arjagnu qlilu;;;;Peu courant;8
laitue;tamafart;;;;Peu courant;8
chicorée;tiffaf;;;;Peu courant;8
chuchoter;ḥtiti;;;;Peu courant;8
armoise de l’atlas;izri - ifsi - ccih;;;;Peu courant;8
épine;assennan;;;;Peu courant;8
pureté;tazedgi;;;;Peu courant;8
alléger;sisfus;;;;Peu courant;8
tourteau d'olives;amegruc;;;;Peu courant;8
beau-frère;alwes;;;;Peu courant;8
assoupir (s');nuddem;;;;Peu courant;8
cité université;tudurt tasdawiyant;;;;Peu courant;8
foin;asaγur - ahicur - thuga;;;;Peu courant;8
formule;tanfaliṭ;;;;Peu courant;8
tisser;eẓḍ;;;;Peu courant;8
molaire;tisyert;;;;Peu courant;8
sociable;amtiw;;;;Peu courant;8
chauffer;sseḥmu;;;;Peu courant;8
patte d'animal griffu ou griffe du chat;akabbar;;;;Peu courant;8
démolir;sedrem;;;;Peu courant;8
petit hôtel;asensu;;;;Peu courant;8
seigle;tisentit;;;;Peu courant;8
epinard;tibidas;;;;Peu courant;8
lutter;nnaɣ;;;;Peu courant;8
les coudes;tiɣemrin;;;;Peu courant;8
sauge;agurim;;;;Peu courant;8
poignet ou chêne vert (arbre);taxlift;;;;Peu courant;8
trèfle;ikfis;;;;Peu courant;8
chèvre- feuille;anaref - iffer teɣṭen;;;;Peu courant;8
tige;aɣedde;;;;Peu courant;8
aux retrouvailles;ar tufat;;;;Peu courant;8
orphelin;agujil;;;;Peu courant;8
bosse (ailleurs que sur le dos);takeẓẓult;;;;Peu courant;8
mariées;tislatin;;;;Peu courant;8
le veuf;ajjal;;;;Peu courant;8
peaux;igelman;;;;Peu courant;8
roseau;aγanim;;;;Peu courant;8
formel;alɣawi;;;;Peu courant;8
tablier;tabanka;;;;Peu courant;8
escargot;aɣellal;;;;Peu courant;8
melon;afeqqus;;;;Peu courant;8
aubépine;idmim - zaεrour;;;;Peu courant;8
moucher (se);nsar;;;;Peu courant;8
aulne;asɣersif;;;;Peu courant;8
aubergine;bitenjal;;;;Peu courant;8
calculer;ḥseb;;;;Peu courant;8
les talons;igurza;;;;Peu courant;8
nuque;takrumt;;;;Peu courant;8
"- izedayen""";"""ildayen";;;;Peu courant;8
galanterie;asenber;;;;Peu courant;8
les nuques;tikurmatin;;;;Peu courant;8
obéissance;asegd;;;;Peu courant;8
les viandes tendres;tikesmatin;;;;Peu courant;8
les hommes;ifeganen;;;;Peu courant;8
orgelet (petit bouton en forme de grain d'orge au bord de la paupière);illeḍ;;;;Peu courant;8
chameau;alɣwem;;;;Peu courant;8
les jeunes filles;tilemzyin;;;;Peu courant;8
toi (féminin);kem;;;;Peu courant;8
chèvre;taɣat;;;;Peu courant;8
les vieillards;iwessura;;;;Peu courant;8
boyau;ajaɛbub;;;;Peu courant;8
sorcier;aseḥḥar;;;;Peu courant;8
grand-mère;jedda;;;;Peu courant;8
côté (à);tama;;;;Peu courant;8
calcul;leḥsab;;;;Peu courant;8
mes soeurs;isetla;;;;Peu courant;8
primaire;amezgaru;;;;Peu courant;8
vacarme;dderdiḥ;;;;Peu courant;8
les vieillards;iwessuraren;;;;Peu courant;8
se lever;kker;;;;Peu courant;8
excuse moi;surf iyi;;;;Peu courant;8
acheteur;amsaɣ;;;;Peu courant;8
cils;argalen;;;;Peu courant;8
adolescent;anubi;;;;Peu courant;8
allumage;asaɣay;;;;Peu courant;8
moi- je;nekk;;;;Peu courant;8
atomique;abelkim;;;;Peu courant;8
palmier datier;tazdayt;;;;Peu courant;8
entasser;kerker;;;;Peu courant;8
au revoir;ar temlilit;;;;Peu courant;8
assouplir;selweɣ;;;;Peu courant;8
deuxième (masculin);wissin;;;;Peu courant;8
celui qui n'a pas laissé de progéniture;amengur;;;;Peu courant;8
les jeunes;ilemziyen;;;;Peu courant;8
hyène;iffis;;;;Peu courant;8
pastèque;dellaε - tiljḍt;;;;Peu courant;8
chicorée sauvage;timerzuga;;;;Peu courant;8
berbèrie;tamazgha;;;;Peu courant;8
generalité;mata;;;;Peu courant;8
berceau;dduḥ;;;;Peu courant;8
jeune (féminin);timeẓit;;;;Peu courant;8
le divorce;inebran;;;;Peu courant;8
coudre;gnu;;;;Peu courant;8
terrorisme;taremɣa;;;;Peu courant;8
cheville;ṭiwetẓa;;;;Peu courant;8
les soeurs;tiyesmatin;;;;Peu courant;8
perturber;erwi;;;;Peu courant;8
museau ou visage;axenfuc;;;;Peu courant;8
châtaignier;abeluḍ urumi;;;;Peu courant;8
téter;ṭṭeḍ;;;;Peu courant;8
applaudir;ewt afus;;;;Peu courant;8
mâchoire;aɣesmaṛ;;;;Peu courant;8
jurer;ggal;;;;Peu courant;8
cèdre;ingel - arzun;;;;Peu courant;8
les piers;iḍarren;;;;Peu courant;8
nous (féminin);nekkwenti;;;;Peu courant;8
mûres;tizwal;;;;Peu courant;8
les barbes;timartin;;;;Peu courant;8
cou ou meurtre;tamgerṭ;;;;Peu courant;8
clôture;afrag;;;;Peu courant;8
pas - sans;wer;;;;Peu courant;8
ma fille;yelli;;;;Peu courant;8
le jeune;ilemzi;;;;Peu courant;8
actuel;aturaw;;;;Peu courant;8
mes frères;ayetma;;;;Peu courant;8
cuisse;taɣma;;;;Peu courant;8
